unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1597795200000.0,2020-08-19 00:00:00,ETH/USDT,421.92,426.75,393.25,407.46,978339.69221,400208683.35,455992.0
1597881600000.0,2020-08-20 00:00:00,ETH/USDT,407.46,418.98,402.07,415.94,663555.73445,273292342.19,322537.0
1597968000000.0,2020-08-21 00:00:00,ETH/USDT,415.94,418.68,385.1,387.97,860998.7256,347455883.45,414222.0
1598054400000.0,2020-08-22 00:00:00,ETH/USDT,387.93,397.04,379.92,395.24,643235.76543,250069873.4,305450.0
1598140800000.0,2020-08-23 00:00:00,ETH/USDT,395.23,396.95,383.15,390.71,445317.81989,173799978.04,222729.0
1598227200000.0,2020-08-24 00:00:00,ETH/USDT,390.72,410.42,387.44,407.68,717403.81877,287991794.22,307676.0
1598313600000.0,2020-08-25 00:00:00,ETH/USDT,407.68,409.06,370.0,382.93,970445.38395,375681480.19,411636.0
1598400000000.0,2020-08-26 00:00:00,ETH/USDT,382.91,392.91,377.37,385.81,738690.7794,284504413.09,351141.0
1598486400000.0,2020-08-27 00:00:00,ETH/USDT,385.81,397.1,371.48,383.27,877763.73658,336647752.29,392116.0
1598572800000.0,2020-08-28 00:00:00,ETH/USDT,383.31,398.0,379.75,395.11,732601.46905,286555001.99,311832.0
1598659200000.0,2020-08-29 00:00:00,ETH/USDT,395.1,405.69,391.88,398.65,659802.63344,263787683.03,300090.0
1598745600000.0,2020-08-30 00:00:00,ETH/USDT,398.65,429.89,398.3,428.94,894979.71788,370467271.1,395838.0
1598832000000.0,2020-08-31 00:00:00,ETH/USDT,428.94,439.0,418.04,433.79,1040748.68881,447866996.19,456201.0
1598918400000.0,2020-09-01 00:00:00,ETH/USDT,433.8,488.84,429.03,475.4,1751354.57719,813662129.65,763508.0
1599004800000.0,2020-09-02 00:00:00,ETH/USDT,475.4,481.39,420.0,439.5,1880642.46853,844475154.72,825133.0
1599091200000.0,2020-09-03 00:00:00,ETH/USDT,439.5,450.7,372.0,381.4,2408569.34151,995567239.01,903066.0
1599177600000.0,2020-09-04 00:00:00,ETH/USDT,381.35,400.21,357.0,385.26,1806488.22474,696658932.12,744610.0
1599264000000.0,2020-09-05 00:00:00,ETH/USDT,385.3,395.0,308.42,335.01,2777166.51389,967730464.91,1074986.0
1599350400000.0,2020-09-06 00:00:00,ETH/USDT,335.04,360.0,316.1,352.8,2017811.14721,691925087.4,852597.0
1599436800000.0,2020-09-07 00:00:00,ETH/USDT,352.85,358.51,323.0,353.59,1740618.42462,596754172.7,708066.0
1599523200000.0,2020-09-08 00:00:00,ETH/USDT,353.59,356.58,325.38,337.39,1400246.82962,476444912.54,554846.0
1599609600000.0,2020-09-09 00:00:00,ETH/USDT,337.41,359.0,330.51,350.85,879760.56255,304910633.8,381038.0
1599696000000.0,2020-09-10 00:00:00,ETH/USDT,350.85,377.25,349.91,367.93,1134287.61137,416598205.67,512819.0
1599782400000.0,2020-09-11 00:00:00,ETH/USDT,367.93,375.27,355.49,373.63,844017.59966,308822715.13,367615.0
1599868800000.0,2020-09-12 00:00:00,ETH/USDT,373.62,388.57,364.73,387.78,766542.31635,287133871.25,318774.0
1599955200000.0,2020-09-13 00:00:00,ETH/USDT,387.78,390.43,350.0,366.42,989195.69047,367969518.51,430236.0
1600041600000.0,2020-09-14 00:00:00,ETH/USDT,366.43,384.64,355.73,377.12,1042059.62265,387238794.68,476828.0
1600128000000.0,2020-09-15 00:00:00,ETH/USDT,377.12,382.47,362.34,364.06,883856.33005,328317009.57,405048.0
1600214400000.0,2020-09-16 00:00:00,ETH/USDT,364.05,373.45,355.0,365.11,841709.98939,306622238.07,371665.0
1600300800000.0,2020-09-17 00:00:00,ETH/USDT,365.04,394.14,363.3,389.36,1256300.411,479026710.9,505247.0
1600387200000.0,2020-09-18 00:00:00,ETH/USDT,389.35,392.58,375.33,384.39,804194.47219,308748579.82,323159.0
1600473600000.0,2020-09-19 00:00:00,ETH/USDT,384.4,388.72,377.0,385.25,570908.33553,218785730.14,230924.0
1600560000000.0,2020-09-20 00:00:00,ETH/USDT,385.25,385.45,365.0,371.04,693164.40144,259700927.48,275295.0
1600646400000.0,2020-09-21 00:00:00,ETH/USDT,371.04,376.8,331.0,340.36,1283946.03098,452134893.63,472560.0
1600732800000.0,2020-09-22 00:00:00,ETH/USDT,340.31,346.91,335.34,344.21,842731.12878,288166815.52,286593.0
1600819200000.0,2020-09-23 00:00:00,ETH/USDT,344.18,344.65,313.29,320.72,940904.49756,313808761.09,323226.0
1600905600000.0,2020-09-24 00:00:00,ETH/USDT,320.72,353.1,316.67,348.97,1071705.09721,360708689.4,371450.0
1600992000000.0,2020-09-25 00:00:00,ETH/USDT,348.97,358.0,337.58,351.92,860643.77924,298266918.8,310536.0
1601078400000.0,2020-09-26 00:00:00,ETH/USDT,351.93,356.4,345.88,353.92,530879.20755,186812160.38,217834.0
1601164800000.0,2020-09-27 00:00:00,ETH/USDT,353.95,362.14,347.24,357.49,569568.55041,202411362.68,230526.0
1601251200000.0,2020-09-28 00:00:00,ETH/USDT,357.58,368.2,351.7,353.96,757758.4304,273063157.79,261317.0
1601337600000.0,2020-09-29 00:00:00,ETH/USDT,353.91,360.63,350.45,359.79,585143.16892,208028826.49,214988.0
