unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1599860340000,2020-09-11 21:39:00,BTC/USDT,10338.3,10340.0,10338.3,10339.56,13.673804,141382.3938524,199
1599860400000,2020-09-11 21:40:00,BTC/USDT,10339.57,10339.92,10337.99,10339.0,21.615147,223470.81639059,227
1599860460000,2020-09-11 21:41:00,BTC/USDT,10339.02,10339.4,10338.51,10339.4,7.941627,82109.47218715,184
1599860520000,2020-09-11 21:42:00,BTC/USDT,10339.39,10339.79,10338.65,10338.88,15.283567,158017.62494306,220
1599860580000,2020-09-11 21:43:00,BTC/USDT,10338.99,10339.13,10333.5,10334.03,10.443492,107956.15994261,290
1599860640000,2020-09-11 21:44:00,BTC/USDT,10334.02,10335.12,10332.85,10334.15,15.973224,165060.36322528,400
1599860700000,2020-09-11 21:45:00,BTC/USDT,10334.15,10334.86,10332.37,10332.42,7.203745,74438.90548525,240
1599860760000,2020-09-11 21:46:00,BTC/USDT,10332.42,10332.42,10330.73,10330.73,7.833564,80934.53400276,198
1599860820000,2020-09-11 21:47:00,BTC/USDT,10330.73,10331.97,10329.36,10330.79,14.135375,146032.48812871,231
1599860880000,2020-09-11 21:48:00,BTC/USDT,10330.87,10331.46,10329.83,10330.76,5.226226,53989.07642713,216
1599860940000,2020-09-11 21:49:00,BTC/USDT,10330.7,10330.77,10328.09,10329.14,16.855947,174111.06395678,320
1599861000000,2020-09-11 21:50:00,BTC/USDT,10329.14,10329.28,10324.73,10325.92,17.626751,182033.40364456,499
1599861060000,2020-09-11 21:51:00,BTC/USDT,10325.91,10326.01,10322.76,10323.3,7.749572,80011.29767939,328
1599861120000,2020-09-11 21:52:00,BTC/USDT,10323.31,10324.79,10321.31,10321.95,9.87578,101949.80172782,278
1599861180000,2020-09-11 21:53:00,BTC/USDT,10322.04,10324.88,10320.91,10322.5,9.157632,94529.52200968,367
1599861240000,2020-09-11 21:54:00,BTC/USDT,10322.56,10323.0,10321.09,10322.52,9.645631,99566.49407341,320
1599861300000,2020-09-11 21:55:00,BTC/USDT,10322.52,10333.22,10322.41,10332.98,34.470427,355984.2333306,632
1599861360000,2020-09-11 21:56:00,BTC/USDT,10332.98,10334.77,10332.98,10334.45,6.287037,64970.42005427,184
1599861420000,2020-09-11 21:57:00,BTC/USDT,10334.45,10335.56,10334.0,10335.56,9.955651,102885.41494811,221
1599861480000,2020-09-11 21:58:00,BTC/USDT,10335.56,10343.42,10335.56,10343.05,49.118488,507886.73503678,467
1599861540000,2020-09-11 21:59:00,BTC/USDT,10342.93,10344.65,10341.91,10343.26,12.010272,124222.43474708,336
1599861600000,2020-09-11 22:00:00,BTC/USDT,10343.18,10345.0,10343.18,10343.99,23.064243,238585.28274148,432
1599861660000,2020-09-11 22:01:00,BTC/USDT,10344.0,10349.0,10344.0,10348.99,28.117856,290914.19904322,393
1599861720000,2020-09-11 22:02:00,BTC/USDT,10349.0,10356.9,10348.99,10351.24,94.624041,979408.86597022,726
1599861780000,2020-09-11 22:03:00,BTC/USDT,10351.23,10355.09,10351.23,10355.0,20.084057,207919.21969287,294
1599861840000,2020-09-11 22:04:00,BTC/USDT,10355.01,10359.59,10354.8,10359.22,12.644593,130958.94246399,331
1599861900000,2020-09-11 22:05:00,BTC/USDT,10358.94,10370.0,10358.94,10366.16,87.022471,902149.30884897,954
1599861960000,2020-09-11 22:06:00,BTC/USDT,10366.17,10369.52,10364.45,10368.08,41.887114,434254.82046139,583
1599862020000,2020-09-11 22:07:00,BTC/USDT,10368.07,10368.71,10357.36,10359.09,71.711885,743237.42819626,656
1599862080000,2020-09-11 22:08:00,BTC/USDT,10359.09,10360.17,10352.98,10359.37,87.509462,906286.13048758,684
1599862140000,2020-09-11 22:09:00,BTC/USDT,10359.37,10361.1,10349.99,10358.59,62.74556,649789.91777199,549
1599862200000,2020-09-11 22:10:00,BTC/USDT,10358.52,10369.39,10356.95,10369.38,32.71697,339094.13510959,569
1599862260000,2020-09-11 22:11:00,BTC/USDT,10369.39,10394.0,10369.09,10391.01,110.361412,1145708.93658702,1481
1599862320000,2020-09-11 22:12:00,BTC/USDT,10391.01,10396.0,10379.47,10382.85,87.317362,907019.93162858,1138
1599862380000,2020-09-11 22:13:00,BTC/USDT,10382.86,10382.94,10374.02,10382.34,38.10195,395456.24740594,646
1599862440000,2020-09-11 22:14:00,BTC/USDT,10382.35,10383.81,10376.89,10377.9,20.272474,210413.97058421,522
1599862500000,2020-09-11 22:15:00,BTC/USDT,10378.01,10393.94,10377.81,10388.92,45.07501,468244.17305061,779
1599862560000,2020-09-11 22:16:00,BTC/USDT,10388.93,10389.5,10372.32,10372.53,70.973771,737050.10942003,729
1599862620000,2020-09-11 22:17:00,BTC/USDT,10372.52,10387.41,10370.93,10385.3,55.140632,572214.139102,703
1599862680000,2020-09-11 22:18:00,BTC/USDT,10385.29,10385.29,10381.86,10384.35,45.953781,477209.71725567,559
1599862740000,2020-09-11 22:19:00,BTC/USDT,10384.34,10384.35,10377.43,10379.84,31.192179,323775.32591483,608
1599862800000,2020-09-11 22:20:00,BTC/USDT,10379.85,10380.2,10371.05,10372.92,38.227444,396673.20215468,488
1599862860000,2020-09-11 22:21:00,BTC/USDT,10372.91,10379.6,10371.84,10375.51,34.047197,353206.15973453,556
1599862920000,2020-09-11 22:22:00,BTC/USDT,10375.51,10376.31,10373.11,10375.0,16.731346,173590.97403513,382
1599862980000,2020-09-11 22:23:00,BTC/USDT,10374.99,10387.61,10374.71,10385.69,47.464145,492629.47011313,501
1599863040000,2020-09-11 22:24:00,BTC/USDT,10385.88,10386.17,10377.86,10378.61,59.290036,615402.54570792,370
1599863100000,2020-09-11 22:25:00,BTC/USDT,10378.6,10385.64,10378.6,10381.02,37.277402,386963.44447005,339
1599863160000,2020-09-11 22:26:00,BTC/USDT,10381.02,10381.02,10375.21,10375.3,21.484199,222960.38815163,296
1599863220000,2020-09-11 22:27:00,BTC/USDT,10375.46,10378.26,10374.72,10377.85,16.939059,175777.32465324,241
1599863280000,2020-09-11 22:28:00,BTC/USDT,10377.85,10377.85,10376.58,10376.99,12.601767,130769.99118809,165
1599863340000,2020-09-11 22:29:00,BTC/USDT,10377.0,10377.0,10360.65,10361.99,50.967939,528448.00256468,747
1599863400000,2020-09-11 22:30:00,BTC/USDT,10362.2,10362.98,10357.0,10360.99,36.502827,378166.23452494,463
1599863460000,2020-09-11 22:31:00,BTC/USDT,10360.99,10374.17,10359.05,10374.17,22.482435,232986.37270778,420
1599863520000,2020-09-11 22:32:00,BTC/USDT,10374.15,10377.0,10365.34,10366.08,27.405418,284251.04981886,426
1599863580000,2020-09-11 22:33:00,BTC/USDT,10366.07,10372.8,10362.57,10370.66,15.236504,157929.99414929,357
1599863640000,2020-09-11 22:34:00,BTC/USDT,10370.67,10370.67,10362.92,10368.9,14.532648,150653.21862518,221
1599863700000,2020-09-11 22:35:00,BTC/USDT,10369.05,10376.96,10369.0,10372.55,19.953417,206980.93293229,360
1599863760000,2020-09-11 22:36:00,BTC/USDT,10372.55,10374.86,10370.66,10373.01,27.061718,280720.44134662,361
1599863820000,2020-09-11 22:37:00,BTC/USDT,10373.0,10389.86,10372.46,10384.85,40.469415,420141.01419127,585
1599863880000,2020-09-11 22:38:00,BTC/USDT,10385.26,10388.28,10380.11,10386.41,43.209257,448658.52106666,686
1599863940000,2020-09-11 22:39:00,BTC/USDT,10386.41,10389.07,10380.11,10387.38,26.573374,275977.49325487,601
1599864000000,2020-09-11 22:40:00,BTC/USDT,10387.38,10392.61,10381.01,10384.56,47.990071,498541.92053107,964
1599864060000,2020-09-11 22:41:00,BTC/USDT,10384.57,10388.02,10371.74,10380.15,51.065216,530086.19686742,988
1599864120000,2020-09-11 22:42:00,BTC/USDT,10380.08,10380.08,10363.84,10368.39,24.138026,250327.06833695,624
1599864180000,2020-09-11 22:43:00,BTC/USDT,10368.39,10369.59,10362.12,10365.41,17.760053,184110.59749113,413
1599864240000,2020-09-11 22:44:00,BTC/USDT,10365.42,10369.09,10362.12,10369.09,16.114348,167046.27538451,374
1599864300000,2020-09-11 22:45:00,BTC/USDT,10369.16,10377.65,10369.16,10377.44,14.423579,149636.89906065,367
1599864360000,2020-09-11 22:46:00,BTC/USDT,10377.44,10382.31,10367.82,10382.15,30.13246,312632.13617949,489
1599864420000,2020-09-11 22:47:00,BTC/USDT,10382.15,10382.15,10375.0,10375.01,33.338264,346050.62971123,404
1599864480000,2020-09-11 22:48:00,BTC/USDT,10375.01,10382.12,10366.43,10378.88,30.461688,316000.90363135,533
1599864540000,2020-09-11 22:49:00,BTC/USDT,10378.88,10381.2,10370.03,10370.98,18.41212,191057.38893342,457
1599864600000,2020-09-11 22:50:00,BTC/USDT,10370.97,10374.74,10368.38,10372.7,14.251073,147805.37092488,377
1599864660000,2020-09-11 22:51:00,BTC/USDT,10372.71,10374.13,10366.93,10372.71,12.302668,127593.4193577,276
1599864720000,2020-09-11 22:52:00,BTC/USDT,10372.59,10377.92,10368.73,10370.33,27.216511,282287.65168521,508
1599864780000,2020-09-11 22:53:00,BTC/USDT,10370.33,10371.19,10370.0,10370.23,12.262605,127170.47642482,228
1599864840000,2020-09-11 22:54:00,BTC/USDT,10370.22,10370.79,10363.8,10370.79,18.167633,188344.07476642,324
1599864900000,2020-09-11 22:55:00,BTC/USDT,10370.79,10380.72,10370.06,10380.72,39.952417,414402.15513068,458
1599864960000,2020-09-11 22:56:00,BTC/USDT,10380.72,10381.18,10372.18,10373.51,32.58629,338056.66965146,443
1599865020000,2020-09-11 22:57:00,BTC/USDT,10373.5,10373.51,10371.92,10373.0,12.087142,125373.23230088,249
1599865080000,2020-09-11 22:58:00,BTC/USDT,10373.0,10373.0,10362.48,10364.22,54.287976,562811.71032131,721
1599865140000,2020-09-11 22:59:00,BTC/USDT,10364.22,10365.25,10358.74,10359.52,37.296514,386470.96783079,670
1599865200000,2020-09-11 23:00:00,BTC/USDT,10359.53,10371.69,10357.67,10364.57,29.715091,307993.98770554,575
1599865260000,2020-09-11 23:01:00,BTC/USDT,10364.64,10370.0,10363.67,10368.62,33.174513,343859.88918215,291
1599865320000,2020-09-11 23:02:00,BTC/USDT,10368.62,10370.15,10367.02,10370.08,23.044617,238948.74108013,443
1599865380000,2020-09-11 23:03:00,BTC/USDT,10370.07,10381.21,10368.28,10377.72,26.573614,275716.10275189,431
1599865440000,2020-09-11 23:04:00,BTC/USDT,10377.71,10377.71,10362.3,10366.08,41.494169,430206.94307934,645
1599865500000,2020-09-11 23:05:00,BTC/USDT,10366.08,10368.9,10364.79,10366.81,16.197898,167927.30728059,383
1599865560000,2020-09-11 23:06:00,BTC/USDT,10366.81,10366.93,10365.08,10366.44,12.59791,130594.91100158,151
1599865620000,2020-09-11 23:07:00,BTC/USDT,10366.45,10366.45,10360.0,10360.02,27.46726,284639.24369917,335
1599865680000,2020-09-11 23:08:00,BTC/USDT,10360.02,10360.02,10354.88,10357.28,33.506069,347023.55870951,547
1599865740000,2020-09-11 23:09:00,BTC/USDT,10357.27,10360.87,10356.18,10357.88,16.276214,168601.74931218,343
1599865800000,2020-09-11 23:10:00,BTC/USDT,10357.87,10357.89,10346.24,10353.01,76.424765,791210.74701929,694
1599865860000,2020-09-11 23:11:00,BTC/USDT,10353.0,10355.87,10351.62,10354.61,29.864908,309185.32882028,278
1599865920000,2020-09-11 23:12:00,BTC/USDT,10354.53,10354.63,10352.41,10352.98,15.667045,162207.35827642,229
1599865980000,2020-09-11 23:13:00,BTC/USDT,10352.97,10356.53,10352.97,10353.61,17.073272,176778.76921644,227
1599866040000,2020-09-11 23:14:00,BTC/USDT,10353.62,10360.53,10353.61,10357.93,14.42112,149374.45651978,268
1599866100000,2020-09-11 23:15:00,BTC/USDT,10358.13,10362.11,10353.02,10357.08,24.056582,249154.65116944,419
